"Step","shared_encoder_v2 - generated B distribution"
"307","{""values"":[392,2223,10892,29399,41260,43322,43313,42036,40927,39128,37434,36206,34201,33445,32407,31921,31365,30895,29914,29522,29330,28502,27481,27032,25884,25097,23831,22453,21085,19853,18215,16987,15674,14249,12872,11880,10569,9646,8718,7799,6954,6259,5581,5029,4434,3984,3445,2929,2562,2149,1889,1502,1177,941,715,499,401,284,180,113,69,51,27,43],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"312","{""_type"":""histogram"",""values"":[357,2159,12764,49549,91701,97206,84821,73516,63006,53278,46014,39169,33977,29719,26770,23856,22155,20706,19344,18300,17390,16843,16167,15627,15320,14304,14027,13451,12674,12295,11388,10399,9534,8515,7612,6714,5773,5000,4150,3653,3164,2645,2191,1901,1660,1364,1204,1037,841,762,594,484,431,302,212,187,126,89,67,37,30,18,12,15],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"317","{""_type"":""histogram"",""values"":[329,1937,9607,27645,40010,43834,45267,45130,44705,43619,42396,40331,37923,35734,33988,32594,30938,29502,28645,27367,25970,25317,25049,23930,23259,21921,21208,20048,18751,18132,16877,16017,14676,13660,12660,11729,10716,9907,8848,8297,7579,6653,6161,5537,4964,4484,3999,3491,3074,2831,2333,2054,1726,1378,1132,798,591,469,329,180,141,102,55,42],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"322","{""values"":[310,1807,8925,25937,42348,48248,48101,46027,45122,43336,42417,40538,38801,35868,33599,32473,30725,29235,28357,27371,26493,25428,24656,23592,22481,21654,20756,19654,18862,17935,16785,15564,14671,13714,12607,11476,10827,9760,8719,8069,7359,6476,5792,5297,4757,4097,3755,3315,2734,2447,2050,1778,1384,1105,863,657,460,343,244,165,99,63,47,41],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"327","{""values"":[215,1274,6765,20020,31948,38104,40315,41298,41732,42578,42066,41914,40092,37961,36126,34306,31730,30961,29387,27758,26803,25699,24894,23719,22928,21747,21197,20389,19485,18856,18031,17198,16411,15707,14747,13506,12707,11627,10519,9844,9009,8014,7086,6374,5715,4927,4540,3891,3313,2823,2341,2003,1550,1183,908,712,534,387,258,204,97,69,35,39],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"332","{""values"":[548,5634,27929,73403,101540,102313,88519,73848,62958,52993,44810,38941,33250,29469,26518,23861,22096,20078,18765,17726,16771,15623,14731,13788,13097,12349,11528,10536,9856,9218,7978,7333,6524,5690,5027,4232,3674,2996,2528,2073,1698,1334,1019,840,696,521,376,350,226,181,157,101,96,51,52,41,22,22,17,11,4,3,3,4],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"337","{""values"":[442,2587,13169,39849,60959,68054,67635,62844,58523,53667,48824,45088,41209,38321,35278,33046,30853,28951,26904,25355,23924,22348,21138,19883,18798,17253,15852,14907,13632,12422,11105,9991,8949,7995,7126,6035,5477,4639,3907,3340,2990,2480,2151,1852,1635,1363,1172,959,790,689,626,430,328,259,214,114,94,69,34,28,5,6,1,8],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"342","{""_type"":""histogram"",""values"":[369,2783,14460,38745,58796,63818,60076,56418,52081,49241,45698,42077,38649,34992,32923,30850,28998,27602,26048,25055,23938,22734,21748,20616,19689,18792,17802,16760,15807,14554,13564,12506,11523,10537,9563,8682,7725,6983,6160,5469,4757,4326,3872,3267,2956,2572,2197,1911,1600,1347,1129,906,745,585,424,335,224,162,132,108,69,47,32,42],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"347","{""values"":[185,1309,5487,12384,18465,22063,24418,27229,30495,33598,35843,36689,36542,35065,34050,32948,31573,30290,29713,28646,27845,26839,26307,25920,25033,24362,23718,23352,22496,22220,21083,20367,19685,18834,17994,17179,16260,15747,14836,13952,13211,12545,11787,10751,10074,9190,8207,7612,6595,5513,4990,4092,3252,2645,2037,1526,1157,842,593,388,225,160,73,90],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"352","{""values"":[571,5458,28605,70434,79545,71425,61998,56181,51584,47168,43342,39943,36185,33526,31122,28983,27301,25736,24438,23297,21674,21062,19984,18600,17514,16359,15111,13740,12791,11456,10700,9702,8832,7643,7099,6250,5542,4864,4232,3858,3480,3040,2717,2397,2031,1849,1601,1446,1157,1028,829,736,598,455,367,284,207,162,136,71,53,34,19,24],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"357","{""values"":[251,900,3112,8113,15411,22029,26954,30985,33845,34987,35611,35327,34750,34087,33321,32493,31484,31040,30579,29795,29492,28920,27968,28134,27416,26522,26060,25352,24744,23858,23101,21958,20911,19868,18716,17534,16263,15367,14251,12929,11822,10897,10179,8836,8140,7244,6507,5692,4880,4230,3502,2907,2399,1874,1439,1095,824,577,410,256,192,103,68,65],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"362","{""values"":[22,95,470,1535,3551,5894,8097,11523,15861,20659,24004,25275,25685,25011,24929,24578,24369,24852,25257,25422,25668,26082,26435,26855,27107,27546,27376,27805,27755,27977,27440,27695,26995,26772,26039,25647,24911,23959,23484,22515,21652,20336,19479,18343,17291,16001,14721,13308,12015,10518,8983,7702,6320,5015,4096,3038,2209,1613,1117,680,438,280,139,130],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"367","{""_type"":""histogram"",""values"":[145,1127,5611,15443,22446,24474,26529,29792,33768,36720,37861,37397,36287,34807,32901,32019,30725,29624,28712,28144,27270,26628,26100,25711,24932,24244,23908,22857,22579,22181,21216,20310,19632,18810,17850,16802,16103,15150,14087,13150,12337,11185,10367,9476,8846,7791,6965,6443,5655,4870,4175,3568,3056,2358,1898,1585,1187,908,631,481,304,193,131,114],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"372","{""_type"":""histogram"",""values"":[296,1819,9568,34615,65122,79622,78853,71953,64385,57997,51865,45822,41252,36971,33407,30484,27683,25603,23686,22121,20674,19533,18167,17562,16206,15032,14399,13459,12624,11651,10778,9861,9015,8124,7337,6297,5667,4948,4390,3637,3172,2597,2251,1757,1426,1133,935,708,566,398,290,251,176,140,86,69,44,36,21,11,9,8,3,4],""bins"":[0,3.6489360332489014,7.297872066497803,10.946808099746704,14.595744132995605,18.244680166244507,21.893616199493408,25.54255223274231,29.19148826599121,32.84042429924011,36.489360332489014,40.138296365737915,43.787232398986816,47.43616843223572,51.08510446548462,54.73404049873352,58.38297653198242,62.03191256523132,65.68084859848022,69.32978463172913,72.97872066497803,76.62765669822693,80.27659273147583,83.92552876472473,87.57446479797363,91.22340083122253,94.87233686447144,98.52127289772034,102.17020893096924,105.81914496421814,109.46808099746704,113.11701703071594,116.76595306396484,120.41488909721375,124.06382513046265,127.71276116371155,131.36169719696045,135.01063323020935,138.65956926345825,142.30850529670715,145.95744132995605,149.60637736320496,153.25531339645386,156.90424942970276,160.55318546295166,164.20212149620056,167.85105752944946,171.49999356269836,175.14892959594727,178.79786562919617,182.44680166244507,186.09573769569397,189.74467372894287,193.39360976219177,197.04254579544067,200.69148182868958,204.34041786193848,207.98935389518738,211.63828992843628,215.28722596168518,218.93616199493408,222.58509802818298,226.23403406143188,229.8829700946808,233.5319061279297]}"
"377","{""values"":[430,2990,14489,38755,60395,68226,65239,59394,53089,48864,45233,41806,39117,35802,33536,31576,29425,28058,26900,25430,24321,23554,22099,21087,19590,18862,17604,16341,15315,13941,12645,11693,10452,9050,8156,7343,6221,5635,4909,4283,3751,3210,2874,2492,2199,2020,1730,1496,1422,1164,988,787,651,517,390,314,221,172,129,85,44,25,21,19],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"382","{""values"":[85,645,4250,14990,29053,34928,33772,33038,34527,37637,41513,42432,41354,38017,35553,33465,31506,29938,28792,27610,26446,25940,25114,24263,23532,22904,22466,21579,20783,20269,19060,18270,17488,16699,15729,14925,13929,12983,12084,11450,10691,9855,8917,8099,7590,6690,5994,5481,4900,4162,3562,2940,2452,2036,1631,1283,972,726,569,400,251,170,94,93],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"387","{""values"":[76,427,1971,6048,11878,16743,20469,23669,27866,31568,34385,34340,33425,32302,31413,30819,30117,30028,29444,28920,29161,28616,28283,27979,27450,27185,26487,26232,25623,25070,23957,22790,22584,21421,20340,19344,18445,17022,16041,15090,14224,13158,12304,11323,10567,9602,8748,7684,6675,5856,5038,4166,3496,2791,2179,1687,1269,903,666,488,308,185,120,111],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"392","{""values"":[78,489,2685,8831,17416,22074,23102,25648,28126,30310,31209,31619,31045,30336,29831,29854,29570,29242,28754,28587,28272,28143,27875,27875,27720,27287,26642,25990,25424,24855,24014,23518,22352,21550,20358,19380,18354,17414,16238,15127,14287,13196,12061,11130,10242,9331,8421,7377,6486,5793,4902,4141,3306,2883,2191,1626,1279,944,619,485,307,187,91,97],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"397","{""values"":[70,399,1779,5526,10332,13887,16622,19023,22281,25160,28036,28837,30059,29727,29538,29138,29169,28996,29194,29090,29456,29106,29264,29043,29236,29087,28312,28112,27769,27196,26444,25267,24517,23281,22679,21339,20269,19084,18027,16906,16093,14866,13774,12848,11825,10765,9617,8646,7459,6635,5500,4523,3765,3000,2256,1777,1290,940,627,435,282,180,101,115],""_type"":""histogram"",""bins"":[0,3.984375476837158,7.968750953674316,11.953126430511475,15.937501907348633,19.92187738418579,23.90625286102295,27.890628337860107,31.875003814697266,35.859379291534424,39.84375476837158,43.82813024520874,47.8125057220459,51.79688119888306,55.781256675720215,59.76563215255737,63.75000762939453,67.73438310623169,71.71875858306885,75.703134059906,79.68750953674316,83.67188501358032,87.65626049041748,91.64063596725464,95.6250114440918,99.60938692092896,103.59376239776611,107.57813787460327,111.56251335144043,115.54688882827759,119.53126430511475,123.5156397819519,127.50001525878906,131.48439073562622,135.46876621246338,139.45314168930054,143.4375171661377,147.42189264297485,151.406268119812,155.39064359664917,159.37501907348633,163.3593945503235,167.34377002716064,171.3281455039978,175.31252098083496,179.29689645767212,183.28127193450928,187.26564741134644,191.2500228881836,195.23439836502075,199.2187738418579,203.20314931869507,207.18752479553223,211.17190027236938,215.15627574920654,219.1406512260437,223.12502670288086,227.10940217971802,231.09377765655518,235.07815313339233,239.0625286102295,243.04690408706665,247.0312795639038,251.01565504074097,255.00003051757812]}"
