"Step","shared_encoder_v2 - generated R distribution"
"52","{""values"":[4,5,25,61,130,371,1756,7324,18356,35478,61151,85429,92813,92221,90080,86049,78041,66183,51985,39393,31701,26661,23676,21876,20593,19121,17504,15789,13609,11616,9381,7331,5801,4501,3241,2444,1775,1246,914,698,510,398,302,225,181,120,116,91,64,40,53,30,21,15,12,14,8,7,7,6,1,5,6,11],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"57","{""values"":[9,22,98,410,2164,8319,18554,26493,34562,43271,53223,61189,66888,69659,71885,74587,74644,69558,59937,46709,34550,26127,22321,21368,20655,19437,17280,15188,13219,11817,10455,8802,7407,6279,5107,4175,3466,2837,2326,1951,1520,1377,1086,1012,864,731,688,608,528,519,458,373,352,291,245,233,184,156,109,88,57,43,23,83],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"62","{""values"":[1,7,21,75,286,1161,4254,11272,25235,43587,59942,67638,66832,64253,63131,60454,54696,49824,45967,41097,34504,28797,25026,21954,19620,17874,16217,14653,13854,12857,12369,11251,10611,10109,9704,9504,9101,8754,8472,8103,7950,7819,7761,7639,7637,6960,6274,5559,4613,4123,3607,3238,2810,2406,2073,1592,1172,851,571,338,204,142,69,101],""_type"":""histogram"",""bins"":[0.811863362789154,4.783553236164153,8.755243109539151,12.72693298291415,16.69862285628915,20.670312729664147,24.642002603039145,28.613692476414144,32.58538234978914,36.55707222316414,40.52876209653914,44.50045196991414,48.47214184328914,52.443831716664135,56.415521590039134,60.38721146341413,64.35890133678913,68.33059121016413,72.30228108353913,76.27397095691413,80.24566083028913,84.21735070366412,88.18904057703912,92.16073045041412,96.13242032378912,100.10411019716412,104.07580007053912,108.04748994391412,112.01917981728911,115.99086969066411,119.96255956403911,123.93424943741411,127.90593931078911,131.8776291841641,135.8493190575391,139.8210089309141,143.7926988042891,147.7643886776641,151.7360785510391,155.7077684244141,159.6794582977891,163.6511481711641,167.6228380445391,171.5945279179141,175.5662177912891,179.5379076646641,183.5095975380391,187.4812874114141,191.45297728478909,195.42466715816408,199.39635703153908,203.36804690491408,207.33973677828908,211.31142665166408,215.28311652503908,219.25480639841408,223.22649627178907,227.19818614516407,231.16987601853907,235.14156589191407,239.11325576528907,243.08494563866407,247.05663551203907,251.02832538541406,255.00001525878906]}"
"67","{""_type"":""histogram"",""values"":[70,55,66,131,185,301,430,631,848,1153,1506,1926,2526,3036,3650,4511,5203,6047,6950,8172,9189,10520,11875,13903,16128,19074,22044,26004,29815,34062,38604,42421,46569,50136,54705,59252,61949,64829,64251,60095,53275,46300,38221,30226,24274,21365,18984,14906,9695,4955,2216,815,286,145,49,22,14,1,2,1,0,0,1,1],""bins"":[0,3.4417240619659424,6.883448123931885,10.325172185897827,13.76689624786377,17.208620309829712,20.650344371795654,24.092068433761597,27.53379249572754,30.97551655769348,34.417240619659424,37.858964681625366,41.30068874359131,44.74241280555725,48.18413686752319,51.625860929489136,55.06758499145508,58.50930905342102,61.95103311538696,65.3927571773529,68.83448123931885,72.27620530128479,75.71792936325073,79.15965342521667,82.60137748718262,86.04310154914856,89.4848256111145,92.92654967308044,96.36827373504639,99.80999779701233,103.25172185897827,106.69344592094421,110.13516998291016,113.5768940448761,117.01861810684204,120.46034216880798,123.90206623077393,127.34379029273987,130.7855143547058,134.22723841667175,137.6689624786377,141.11068654060364,144.55241060256958,147.99413466453552,151.43585872650146,154.8775827884674,158.31930685043335,161.7610309123993,165.20275497436523,168.64447903633118,172.08620309829712,175.52792716026306,178.969651222229,182.41137528419495,185.8530993461609,189.29482340812683,192.73654747009277,196.17827153205872,199.61999559402466,203.0617196559906,206.50344371795654,209.94516777992249,213.38689184188843,216.82861590385437,220.2703399658203]}"
"72","{""_type"":""histogram"",""values"":[140,207,452,950,1938,3629,6389,10232,15087,20432,25432,29934,34016,37628,39873,41471,42033,42478,42224,41701,41288,40266,39334,38481,37097,36273,34677,33102,31656,29822,28382,27180,25498,23449,21064,19548,17352,15331,13489,11686,10113,8715,7428,6096,4706,3413,2400,1537,1075,662,445,251,188,131,76,49,32,22,8,0,2,2,3,1],""bins"":[0,3.7205281257629395,7.441056251525879,11.161584377288818,14.882112503051758,18.602640628814697,22.323168754577637,26.043696880340576,29.764225006103516,33.484753131866455,37.205281257629395,40.925809383392334,44.64633750915527,48.36686563491821,52.08739376068115,55.80792188644409,59.52845001220703,63.24897813796997,66.96950626373291,70.69003438949585,74.41056251525879,78.13109064102173,81.85161876678467,85.57214689254761,89.29267501831055,93.01320314407349,96.73373126983643,100.45425939559937,104.1747875213623,107.89531564712524,111.61584377288818,115.33637189865112,119.05690002441406,122.777428150177,126.49795627593994,130.21848440170288,133.93901252746582,137.65954065322876,141.3800687789917,145.10059690475464,148.82112503051758,152.54165315628052,156.26218128204346,159.9827094078064,163.70323753356934,167.42376565933228,171.14429378509521,174.86482191085815,178.5853500366211,182.30587816238403,186.02640628814697,189.7469344139099,193.46746253967285,197.1879906654358,200.90851879119873,204.62904691696167,208.3495750427246,212.07010316848755,215.7906312942505,219.51115942001343,223.23168754577637,226.9522156715393,230.67274379730225,234.39327192306519,238.11380004882812]}"
"77","{""_type"":""histogram"",""values"":[6,21,36,105,359,877,2019,3856,5768,7832,10019,12106,13978,15588,16716,17842,18372,19409,19887,20020,20640,21565,21747,22379,22649,23389,24175,24486,24964,26107,26463,27262,28312,29220,30264,31393,32102,33815,34968,36633,38224,39653,41864,42879,41349,36380,28302,19122,12141,7732,4972,2945,1785,1178,810,602,445,341,238,128,56,41,19,21],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"82","{""_type"":""histogram"",""values"":[198,378,1089,2582,5824,11719,19697,29723,40167,50191,58403,64317,67079,65904,62983,58159,52630,46921,41281,36240,32091,28399,25315,22969,20712,18789,17399,16169,14863,13955,12950,12207,11238,10381,9737,9038,8533,7734,7053,6585,5790,4997,4177,3327,2458,1787,1377,1018,695,466,312,199,158,100,47,26,19,4,8,3,2,1,1,2],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"87","{""values"":[9,16,49,147,447,1295,2927,5192,7476,9613,11521,13306,14355,15283,15602,15854,16384,16326,16313,16638,16694,16713,16980,17204,17495,17971,18510,18664,19319,19564,20470,20692,21446,22219,22932,23710,24340,25067,26348,27428,29183,31074,33029,37464,41293,45937,51856,53040,45693,34718,22861,14324,7717,3860,1800,876,524,329,207,131,75,33,19,14],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"92","{""values"":[28,74,224,839,3033,8646,18084,27433,34859,39761,42155,43118,42447,41097,39246,36857,34239,32053,29407,27259,25756,24414,22976,22048,20837,20210,19409,18748,18285,17810,17295,17267,16729,16495,16453,16455,16278,15881,15587,15688,15718,15433,15273,16003,15989,14688,13566,12518,11760,10597,8988,6541,4485,3276,2454,1809,1397,981,657,421,254,159,70,59],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"97","{""values"":[29,42,151,354,790,1771,3644,6813,11113,16303,21509,27008,31585,34585,36186,36540,36107,35238,33776,32050,30699,29183,27926,26951,25902,25102,24895,23612,23643,22897,22599,22128,22101,21613,20979,21062,20464,20282,20005,19656,18890,18667,18038,17235,16526,15687,15387,15021,14642,14089,12669,10628,7888,5521,3712,2521,1591,1057,666,401,216,118,60,53],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
