"Step","shared_encoder_v2 - generated R distribution"
"412","{""_type"":""histogram"",""values"":[28,82,204,510,1253,2739,5197,9032,13922,19182,24452,29808,34433,38039,39685,39800,39792,38774,37892,36899,34886,32962,31845,30619,28919,27730,26242,25547,24419,23608,22491,21758,21320,20583,19887,19448,18758,18062,17541,16793,16376,15608,14842,13905,12973,11872,11119,10498,9943,8936,7543,5795,4180,3050,2174,1552,1115,769,508,324,171,95,53,34],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"417","{""values"":[30,82,206,482,1257,2752,5378,8598,12180,15714,19587,23541,27082,29909,32162,33515,33528,32937,32195,31755,30472,29645,28859,28036,27132,26392,25445,25284,24709,24154,23942,23787,23229,22791,22904,22879,22290,21647,21402,20819,20503,19961,18808,18554,18116,17815,17641,17386,15848,12638,9156,6539,4717,3559,2633,1959,1496,976,659,427,255,119,64,39],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"422","{""values"":[9,15,45,225,784,3007,8595,17277,25658,32459,39270,45306,50236,53099,54554,53030,49345,45628,41919,37627,34399,31534,28408,26480,24593,22393,20861,19699,18213,16967,16057,15212,14500,13865,13367,12694,12298,11631,11247,10836,10413,9930,9637,8977,8656,7896,7553,7029,6564,5977,5532,4922,4580,3970,3391,2774,2350,1848,1232,846,550,337,149,121],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"427","{""values"":[43,87,291,715,1633,3545,6755,11080,16455,21810,27058,31272,34629,36041,35851,34908,33940,33133,31401,30116,29257,27923,27294,26221,25478,24631,23661,23197,22564,22108,21853,21556,21119,20519,20112,20144,19733,19428,18770,18802,18042,17674,17273,16892,16839,17454,18836,18451,16384,13694,10611,7859,5215,2951,1822,1147,843,552,391,244,144,72,22,31],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"432","{""_type"":""histogram"",""values"":[21,54,174,595,1816,5212,10947,19112,29145,40851,50757,58940,63602,63383,59389,53973,47434,41575,36048,31718,27607,24868,21671,19703,17925,16896,15828,14647,13966,13427,12822,12461,12179,11832,11641,11661,11236,11110,11197,10687,10819,10742,10298,9871,9790,9356,8880,8507,8006,7609,7105,6130,5162,4357,3616,2867,2363,1778,1256,851,557,277,154,115],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"437","{""_type"":""histogram"",""values"":[3,5,24,70,131,349,713,1465,2342,3479,5155,6996,8907,11201,13071,15286,16606,17580,18803,20036,20382,21203,21887,21946,22794,23360,23757,24566,24943,25609,26353,26879,27626,28360,28775,28928,29578,29879,30059,29970,30304,29619,29521,28694,27989,27272,26510,26468,24759,22977,20786,18484,16072,13916,11883,10086,8206,6522,4431,2646,1331,638,259,127],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"442","{""_type"":""histogram"",""values"":[32,87,214,598,1283,2814,5072,7890,11035,14485,17994,22125,26456,30821,33168,34637,35714,35648,34723,34345,33209,32014,30302,29320,28055,26837,26316,25490,25061,24212,23739,23226,22551,22283,21754,21724,21061,21005,20636,19912,19197,18632,18151,17460,16552,15709,15460,15197,14138,12156,10222,8221,6043,4444,3049,2105,1400,1031,672,405,257,130,60,37],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"447","{""_type"":""histogram"",""values"":[2,2,7,26,106,351,1070,2406,4507,7195,9915,12142,14658,16946,19039,21682,23335,24823,26443,27352,27904,28243,28470,28259,28269,27812,27428,27419,26959,26965,26844,26323,26086,25833,25624,25079,24822,24342,24106,23245,22982,22394,21996,21787,20757,20987,21320,21077,20058,18744,17634,16224,15546,13050,9797,6916,5168,3830,2702,1742,1022,478,201,125],""bins"":[1.7729769945144653,5.729649467393756,9.686321940273046,13.642994413152337,17.599666886031628,21.55633935891092,25.51301183179021,29.4696843046695,33.42635677754879,37.38302925042808,41.33970172330737,45.29637419618666,49.25304666906595,53.20971914194524,57.16639161482453,61.123064087703824,65.07973656058311,69.0364090334624,72.9930815063417,76.94975397922099,80.90642645210028,84.86309892497957,88.81977139785886,92.77644387073815,96.73311634361744,100.68978881649673,104.64646128937602,108.60313376225531,112.5598062351346,116.51647870801389,120.47315118089318,124.42982365377247,128.38649612665176,132.34316859953105,136.29984107241035,140.25651354528964,144.21318601816893,148.16985849104822,152.1265309639275,156.0832034368068,160.0398759096861,163.99654838256538,167.95322085544467,171.90989332832396,175.86656580120325,179.82323827408254,183.77991074696183,187.73658321984112,191.6932556927204,195.6499281655997,199.606600638479,203.56327311135828,207.51994558423758,211.47661805711687,215.43329052999616,219.38996300287545,223.34663547575474,227.30330794863403,231.25998042151332,235.2166528943926,239.1733253672719,243.1299978401512,247.08667031303048,251.04334278590977,255.00001525878906]}"
"452","{""_type"":""histogram"",""values"":[15,49,143,483,1290,3609,7802,14865,22928,29444,35122,40581,45862,49356,51139,51166,49789,47173,44001,40233,37114,33684,30068,27469,24715,22640,20811,19029,18058,17013,15822,15293,14288,13766,13459,12834,12450,12055,11790,11359,11364,10874,10519,10224,9709,9131,8720,8119,7480,6696,6167,5655,5273,4563,3861,3164,2625,2025,1476,932,586,353,170,123],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"457","{""_type"":""histogram"",""values"":[18,43,160,720,2558,7324,15038,25366,36334,47873,59005,67118,69874,69243,62939,55137,48290,41278,35722,31198,27697,23974,21173,19202,17237,15805,14834,13679,12960,12290,11480,11279,10670,10454,10161,10038,9812,9581,9370,9198,9031,8601,8161,7655,7319,6727,6322,5696,5151,4730,4253,3819,3250,2742,2357,1907,1518,1132,779,556,354,199,108,77],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"462","{""values"":[4,7,31,82,176,390,809,1704,2518,3861,5405,7114,8964,10736,12674,14432,15823,17335,19035,20389,21858,23072,24269,25262,26546,27401,28290,28756,29133,30055,30722,30930,31268,32030,31949,31944,32058,31924,32018,31432,31771,32059,31879,32462,33506,33428,31672,29224,24761,17751,10992,6828,4103,2327,1364,752,468,314,204,151,79,39,19,17],""_type"":""histogram"",""bins"":[2.253405809402466,6.202571343630552,10.151736877858639,14.100902412086725,18.05006794631481,21.999233480542898,25.948399014770985,29.89756454899907,33.84673008322716,37.795895617455244,41.74506115168333,45.69422668591142,49.6433922201395,53.59255775436759,57.541723288595676,61.49088882282376,65.44005435705185,69.38921989127994,73.33838542550802,77.28755095973611,81.2367164939642,85.18588202819228,89.13504756242037,93.08421309664845,97.03337863087654,100.98254416510463,104.93170969933271,108.8808752335608,112.83004076778889,116.77920630201697,120.72837183624506,124.67753737047315,128.62670290470123,132.57586843892932,136.5250339731574,140.4741995073855,144.42336504161358,148.37253057584167,152.32169611006975,156.27086164429784,160.22002717852592,164.169192712754,168.1183582469821,172.06752378121018,176.01668931543827,179.96585484966636,183.91502038389444,187.86418591812253,191.81335145235062,195.7625169865787,199.7116825208068,203.66084805503488,207.61001358926296,211.55917912349105,215.50834465771914,219.45751019194722,223.4066757261753,227.3558412604034,231.30500679463148,235.25417232885957,239.20333786308765,243.15250339731574,247.10166893154383,251.0508344657719,255]}"
"467","{""_type"":""histogram"",""values"":[6,9,36,160,539,1800,4589,8771,13838,19244,24508,30390,36827,41659,46010,47980,48115,46198,43927,41278,38437,35460,33469,31152,29022,27290,25416,23713,22704,21186,20410,19437,18357,17718,16813,16134,15523,15120,14526,13957,13124,12870,11954,11464,10906,10282,9602,8920,8557,8242,7568,6148,4489,3473,2722,2062,1627,1111,760,411,245,155,82,74],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"472","{""values"":[63,170,543,1652,3881,8142,14366,21007,27046,33404,40527,46597,50259,51754,50298,47287,43086,39430,35363,32130,29239,26443,24604,22652,21038,19991,19213,18005,17263,16419,16060,15274,15248,14963,14927,15029,14541,14709,14186,14091,13748,13064,12576,11836,11166,10829,10261,9376,8182,6907,5780,5014,4364,3843,2962,2417,1783,1282,915,605,359,225,101,81],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"477","{""values"":[1,5,23,61,282,1180,3991,10032,19207,26482,30757,32533,33604,34630,35129,35083,34838,33977,32728,31774,30391,29530,28024,26581,25562,24191,23831,22561,22252,21558,20744,20266,19551,19311,18640,18398,17972,17826,17382,17016,16284,16189,15916,15027,14928,14451,14282,14065,14023,13332,12046,10694,9529,7967,6215,4839,3642,2754,1912,1148,707,411,188,123],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"482","{""values"":[27,54,192,551,1486,3388,6126,10050,14481,18936,22868,26240,29082,30419,31483,31671,31084,30029,29282,28702,27693,26524,25945,25219,24662,23988,23627,23215,23205,22693,22377,22261,22167,22031,22139,21677,22036,21516,21333,21380,20728,20860,20626,20466,20968,22087,23321,22188,17605,12881,9569,7419,6161,4301,2731,1790,1108,788,479,276,190,111,51,33],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"487","{""_type"":""histogram"",""values"":[6,13,68,197,739,3315,10508,22108,33322,41793,47195,50869,53136,53859,51349,48505,44024,39976,35792,32006,28955,26217,23870,21910,20375,19184,17984,16754,16004,15609,14783,14149,13772,13265,12970,12733,12387,11958,11908,11604,11346,11081,10862,10566,10415,10235,10120,10071,9854,9435,7996,6653,5476,4575,3764,3225,2399,1959,1374,873,596,283,144,103],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"492","{""_type"":""histogram"",""values"":[5,13,40,139,402,918,1823,3160,4726,6575,8302,9863,10885,12146,13083,13932,14768,15124,15856,16367,17003,17415,18268,18986,19699,20234,20546,21170,22289,22873,23633,24393,24859,25863,26438,27142,27541,28619,29464,30206,31058,32389,33995,35784,38414,44958,50813,50477,44764,32381,19133,9609,4460,2139,1015,692,613,468,316,171,103,36,12,8],""bins"":[6.988715648651123,10.86389196664095,14.739068284630775,18.6142446026206,22.489420920610428,26.364597238600254,30.23977355659008,34.11494987457991,37.99012619256973,41.86530251055956,45.740478828549385,49.61565514653921,53.49083146452904,57.366007782518864,61.24118410050869,65.11636041849852,68.99153673648834,72.86671305447817,76.741889372468,80.61706569045782,84.49224200844765,88.36741832643747,92.2425946444273,96.11777096241713,99.99294728040695,103.86812359839678,107.7432999163866,111.61847623437643,115.49365255236626,119.36882887035608,123.24400518834591,127.11918150633574,130.99435782432556,134.8695341423154,138.7447104603052,142.61988677829504,146.49506309628487,150.3702394142747,154.24541573226452,158.12059205025434,161.99576836824417,165.870944686234,169.74612100422382,173.62129732221365,177.49647364020348,181.3716499581933,185.24682627618313,189.12200259417295,192.99717891216278,196.8723552301526,200.74753154814243,204.62270786613226,208.49788418412209,212.3730605021119,216.24823682010174,220.12341313809156,223.9985894560814,227.87376577407122,231.74894209206104,235.62411841005087,239.4992947280407,243.37447104603052,247.24964736402035,251.12482368201017,255]}"
"497","{""_type"":""histogram"",""values"":[18,33,183,530,1310,2913,5482,9013,12906,17211,21327,25578,28942,31090,32138,32457,32621,32037,30824,30231,29407,28169,27123,26326,25650,24805,24455,23606,23071,22803,22560,22305,21924,21901,21604,21564,21386,20750,20616,20500,20188,19810,19250,18930,19362,19665,19303,19043,17957,15937,13126,9529,6251,3954,2687,1921,1455,1049,755,471,274,177,71,42],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"502","{""values"":[4,15,40,151,428,968,1996,3411,5118,7137,9184,11027,12325,13570,14437,15568,16143,16741,17202,18003,18306,18886,19348,20192,20632,21300,21942,22489,23464,24033,24559,25367,26093,26663,27031,27626,27938,28600,28651,29189,29701,30399,30972,32949,35423,37259,38254,38843,36073,31619,24061,16229,9556,5237,2831,1459,824,464,316,170,97,37,19,7],""_type"":""histogram"",""bins"":[6.037515640258789,9.927554696798325,13.81759375333786,17.707632809877396,21.59767186641693,25.487710922956467,29.377749979496002,33.26778903603554,37.15782809257507,41.04786714911461,44.937906205654144,48.82794526219368,52.717984318733215,56.60802337527275,60.498062431812286,64.38810148835182,68.27814054489136,72.1681796014309,76.05821865797043,79.94825771450996,83.8382967710495,87.72833582758904,91.61837488412857,95.5084139406681,99.39845299720764,103.28849205374718,107.17853111028671,111.06857016682625,114.95860922336578,118.84864827990532,122.73868733644485,126.62872639298439,130.51876544952393,134.40880450606346,138.298843562603,142.18888261914253,146.07892167568207,149.9689607322216,153.85899978876114,157.74903884530067,161.6390779018402,165.52911695837975,169.41915601491928,173.30919507145882,177.19923412799835,181.0892731845379,184.97931224107742,188.86935129761696,192.7593903541565,196.64942941069603,200.53946846723557,204.4295075237751,208.31954658031464,212.20958563685417,216.0996246933937,219.98966374993324,223.87970280647278,227.7697418630123,231.65978091955185,235.54981997609138,239.43985903263092,243.32989808917046,247.21993714571,251.10997620224953,255.00001525878906]}"
"507","{""_type"":""histogram"",""values"":[76,175,563,1576,3440,6756,10053,13737,17616,21426,24265,26981,29129,31188,32362,32713,32591,32435,31294,30677,29487,28676,27346,26182,25433,24678,23915,23402,23073,22744,22142,21890,21649,21383,21096,20974,20494,20205,19485,19087,18618,18366,17887,17499,17291,17713,18622,19695,18396,14119,9220,5976,4008,2701,1864,1384,1044,645,479,283,183,102,49,38],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
