"Step","shared_encoder_v2 - generated G distribution"
"52","{""values"":[1,0,1,1,1,3,14,5,38,61,135,251,477,909,2543,6339,13287,22487,32764,44910,56642,69602,79632,85602,86328,81674,73899,65358,55484,46597,38948,32639,27042,22575,18486,14846,11667,9340,7472,5972,4888,4092,3458,3204,2601,2313,2176,1972,1933,1653,1323,1156,960,785,554,447,305,200,149,114,87,54,39,81],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"57","{""values"":[188,412,1272,4277,15646,45358,91193,128176,137414,124435,103753,83187,64346,51024,41947,34750,27399,20987,15248,10924,7960,5965,4480,3447,2904,2443,2007,1729,1581,1383,1223,1123,1060,952,886,852,742,657,666,626,540,525,445,395,390,310,281,245,193,164,130,83,76,62,41,19,18,11,11,9,2,1,1,2],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"62","{""_type"":""histogram"",""values"":[204,472,1501,4617,13630,34999,70618,96077,100437,95448,83887,68962,56056,47304,40383,33520,27844,23190,20218,17763,16137,14446,13251,12352,11384,10565,9939,9541,9134,8680,8340,7786,7441,7199,6926,6618,6324,6009,5731,5331,4939,4434,3767,3169,2593,2120,1759,1407,1138,916,667,478,336,236,132,92,48,40,18,13,5,1,1,3],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"67","{""_type"":""histogram"",""values"":[57,63,85,169,230,342,492,652,878,1117,1370,1739,2223,2547,3037,3616,4319,5058,5724,6741,8022,9157,10437,12135,13733,15426,18033,20498,24111,28431,34544,42515,52842,64226,75297,82898,84098,76404,66069,54016,41791,31946,28016,24297,19586,13625,9481,7659,7025,6914,6522,6207,5050,3568,2078,913,356,114,41,20,9,5,1,1],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"72","{""_type"":""histogram"",""values"":[4,11,15,22,38,72,107,221,339,559,830,1259,1795,2518,3123,3962,4862,5646,6809,7850,9039,10183,11460,12275,13775,14677,15786,17244,18487,19863,21050,22365,23604,24946,26695,27719,29377,31184,32759,34901,37743,40051,43423,45965,46541,47636,46799,45970,44086,41194,37205,31833,26054,20259,14511,9561,5923,3326,1638,818,331,138,78,62],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"77","{""_type"":""histogram"",""values"":[155,290,646,1349,2773,5271,7850,10822,13221,15106,16588,18260,19394,20302,21880,22649,23295,24743,24672,25396,26118,26026,26301,26876,27378,27954,28062,28861,29723,29887,30599,30537,31133,31180,31983,31680,32700,33041,32954,33049,32341,31756,29527,25421,19655,13187,8406,5432,3616,2595,1854,1342,908,666,493,257,190,106,67,18,16,9,3,7],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"82","{""_type"":""histogram"",""values"":[10,18,39,114,234,407,856,1614,2705,4608,7036,9597,12698,16257,19269,22736,26063,29298,31957,33694,35592,36437,36437,36815,36776,35769,34770,34190,33181,31549,30438,29300,28367,27163,26040,25492,24681,23994,23120,22973,22997,22561,22278,20825,18766,17604,15717,14307,13143,11291,9244,7454,5884,4348,3133,2394,1606,1072,664,449,274,137,65,69],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"87","{""values"":[150,304,706,1523,3086,5789,9201,11676,13478,15302,16243,17603,18292,18667,19159,19703,20005,20173,20449,20675,21187,21337,21444,21831,22395,22972,23530,24037,24554,25156,25581,26265,26749,26787,27403,27955,28260,29037,29423,30230,31649,33139,36067,36914,36634,33689,27580,20639,13976,8238,4617,2401,1585,1072,714,500,310,229,122,90,59,17,13,5],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"92","{""values"":[86,238,711,2417,7942,20185,34857,39719,39197,38537,38581,38840,39135,38163,37758,36936,35224,33175,31340,29030,27195,25248,23707,22436,21293,20058,19555,18942,18280,17991,17182,17166,16686,16414,16155,15674,15152,14789,14274,14189,13912,13981,14018,13145,11713,10750,10199,9400,8005,6512,5220,4173,3403,2789,2171,1642,1145,783,546,324,160,74,33,21],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"97","{""values"":[31,57,142,319,659,1244,2260,4035,6499,9515,12668,16243,19872,23426,27101,30776,33732,35677,36098,36344,35400,34203,32893,31138,30248,28802,27709,26797,26130,25092,24819,24300,23592,23261,22742,22518,21675,21508,20826,20378,19980,19592,19005,18710,17603,17467,16671,16120,15425,14553,12561,10406,8352,6336,4781,3581,2524,1699,1067,659,401,202,76,76],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
