"Step","shared_encoder_v2 - generated G distribution"
"432","{""values"":[82,174,582,2063,6744,15267,24655,31882,38084,43366,48930,53670,56732,57511,56149,52033,46807,40519,35220,30426,26929,23755,21107,19200,17690,16133,15019,14222,13295,12662,12185,11945,11634,11046,10815,10486,10410,10440,10211,9847,9951,9648,9675,9332,9085,9157,8652,8355,7931,7360,6352,5626,4636,3847,2940,2077,1609,979,679,366,211,102,44,35],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"437","{""_type"":""histogram"",""values"":[30,56,138,302,655,1356,2217,3361,4465,5483,6730,7905,8896,10505,11842,13338,15137,16713,17960,19657,20653,21868,23191,23754,24702,25316,26335,27028,27359,28308,28902,29146,30145,30564,30856,30960,31375,31404,31231,31258,30867,30414,29680,29106,27700,27082,25950,24915,22705,20014,17402,15016,12599,10309,7971,5986,4142,2508,1514,837,405,226,86,41],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"442","{""values"":[52,97,277,600,1578,3269,5561,7899,10102,12174,14155,15943,17431,19483,21611,23669,25905,28122,29509,30461,30540,30178,29703,29112,28631,28236,27171,26737,26079,26005,25479,24982,24860,24419,23714,23650,23235,23173,22688,22679,22287,21800,21511,20870,20668,19709,19684,19192,17047,14971,13589,11370,9477,7678,6119,4554,3332,2261,1485,857,479,256,111,100],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"447","{""_type"":""histogram"",""values"":[92,204,561,1407,3231,6138,9998,13859,16693,18989,20821,22602,24156,26312,27894,29010,30457,31240,32128,32226,31966,31718,31151,30535,29499,28975,28070,27189,26588,26042,25220,25000,23926,23442,22560,22376,21433,20862,19836,19187,18245,17622,17177,16267,16040,15329,14651,13679,12182,10930,9250,7468,5494,3626,2453,1798,1182,691,411,258,135,59,27,9],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"452","{""_type"":""histogram"",""values"":[52,134,561,2332,7209,15527,23504,28194,31259,33531,35966,38635,41166,42502,44688,45176,45214,43689,41288,38337,34863,31661,28704,25734,23280,21136,19380,17849,16785,15662,14737,14000,13448,12849,12228,11998,11593,11273,11122,10952,10611,10470,10009,10142,9999,9707,9387,8975,8491,7932,7176,6524,5498,4557,3525,2617,1844,1215,758,472,230,110,74,35],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"457","{""_type"":""histogram"",""values"":[7,35,115,566,2540,9096,18678,25918,29249,31487,34382,39555,45406,50979,56713,58554,57206,53672,47990,41813,36691,31421,27337,24115,21465,19166,17156,15772,14480,13365,12433,11755,11183,10862,10175,9819,9597,9423,9105,9100,8898,8762,8746,8785,8786,8669,8291,8170,7869,7477,7024,6436,5465,4644,3489,2873,2211,1394,936,553,340,191,104,82],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"462","{""_type"":""histogram"",""values"":[183,326,858,1681,3108,4919,6997,9179,10944,12914,14824,16318,17891,19852,21293,22659,24529,26421,27403,28680,29462,30480,31547,32045,32509,33150,33285,33465,33082,32879,32568,32113,31445,30122,29396,28479,26941,25956,24610,23152,22263,21639,21131,20668,20239,17987,15784,11591,7204,4065,2623,1696,1170,828,606,517,334,245,144,80,57,22,10,8],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"467","{""_type"":""histogram"",""values"":[29,61,172,719,2597,6250,11030,15414,18784,21053,23217,25317,28356,31459,34886,37329,39673,41397,42102,41197,39776,38034,35405,33505,31426,29788,27972,25890,24460,22940,21801,20402,19537,18093,17495,16763,15944,15110,14524,14110,13591,13034,12572,12104,11498,10948,10508,10114,9363,8291,7038,5875,4952,4130,3168,2492,1801,1233,791,478,284,154,87,53],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"472","{""values"":[45,112,469,1972,5975,12334,18179,21985,24721,27026,29479,31894,34093,37077,39068,41253,41854,40482,38858,36135,33038,30602,27749,24974,22812,21026,19845,18480,17403,16708,16250,15736,15125,14711,14463,14100,13763,13811,13444,13521,13410,13430,13486,13762,13816,13998,13910,13295,12410,11801,10824,10031,8788,7149,5761,4295,3058,2053,1222,755,381,190,111,68],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"477","{""_type"":""histogram"",""values"":[112,271,872,2779,8347,19853,34067,41195,41652,40576,39853,39355,38597,37528,36794,35527,34321,32724,31341,29416,28134,27011,25534,24537,23107,22352,21320,20439,19516,18853,18172,17474,16754,16401,15909,15251,14817,14153,13769,13265,12791,12331,11842,11114,10601,9791,9392,8496,7460,6123,5023,3809,2738,1788,1198,843,533,352,202,101,61,20,13,6],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"482","{""_type"":""histogram"",""values"":[102,263,738,1842,3943,7219,10989,14530,17011,17959,19523,20983,22916,24758,26731,28698,29395,30615,30196,29920,29830,28682,27826,27442,26947,26391,26090,25588,25050,24727,24461,23854,23672,23042,22648,22247,22096,21511,20959,20567,19928,19611,19545,19539,19544,19891,18443,15447,12044,10373,9171,7955,6422,5217,4225,3184,2336,1530,986,579,324,189,69,63],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"487","{""values"":[58,173,707,3386,11982,27987,41407,47173,48616,47867,46888,45613,44988,43719,42364,40554,38121,34678,31277,28495,25440,23626,21678,19880,18489,17251,16270,15623,14891,13910,13617,12835,12423,11956,11544,11219,10815,10702,10521,10393,10096,9990,9918,9636,9472,9315,9198,8612,7847,7036,5966,5024,4414,3691,2976,2185,1585,1027,660,397,200,112,49,34],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"492","{""_type"":""histogram"",""values"":[207,446,1161,2588,4797,7479,10455,12405,14098,15296,16236,16864,17640,18296,18641,19184,19739,20182,20596,21281,21580,22289,22981,23232,24250,24973,25377,25753,26302,26833,27171,27693,28045,28070,27999,28429,27946,27905,27981,27567,27967,28190,28419,29349,31363,33408,32056,26099,17202,7964,2964,1232,698,529,433,340,229,87,47,20,7,3,2,1],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"497","{""values"":[147,339,1103,2953,6505,11412,16311,20169,22388,23960,25383,26840,27967,29242,30899,31520,32465,32658,32689,32057,30860,30073,29078,27971,27054,26173,25575,24951,24421,23799,23357,22835,22531,21765,20993,20303,19791,18716,18219,17102,16625,15628,15382,14986,15282,14507,13538,12499,10950,8679,6681,4922,3866,3353,2731,2136,1521,1138,673,436,235,139,60,35],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"502","{""_type"":""histogram"",""values"":[205,440,1080,2279,4389,6891,9691,12450,14444,15999,17186,17696,18494,18982,19607,20067,20511,21296,21404,22197,23021,23135,23720,24458,24837,25633,26279,26210,26668,27065,27211,27805,27763,27393,27292,27366,26851,26720,26206,25623,25224,24951,24863,25356,26478,27373,26098,24315,20716,16143,10526,5342,2371,1118,504,283,170,95,45,30,6,4,0,1],""bins"":[0,3.8790128231048584,7.758025646209717,11.637038469314575,15.516051292419434,19.395064115524292,23.27407693862915,27.15308976173401,31.032102584838867,34.911115407943726,38.790128231048584,42.66914105415344,46.5481538772583,50.42716670036316,54.30617952346802,58.185192346572876,62.064205169677734,65.94321799278259,69.82223081588745,73.70124363899231,77.58025646209717,81.45926928520203,85.33828210830688,89.21729493141174,93.0963077545166,96.97532057762146,100.85433340072632,104.73334622383118,108.61235904693604,112.4913718700409,116.37038469314575,120.24939751625061,124.12841033935547,128.00742316246033,131.88643598556519,135.76544880867004,139.6444616317749,143.52347445487976,147.40248727798462,151.28150010108948,155.16051292419434,159.0395257472992,162.91853857040405,166.7975513935089,170.67656421661377,174.55557703971863,178.4345898628235,182.31360268592834,186.1926155090332,190.07162833213806,193.95064115524292,197.82965397834778,201.70866680145264,205.5876796245575,209.46669244766235,213.3457052707672,217.22471809387207,221.10373091697693,224.9827437400818,228.86175656318665,232.7407693862915,236.61978220939636,240.49879503250122,244.37780785560608,248.25682067871094]}"
"507","{""values"":[90,270,789,1938,4642,9019,13798,18092,20853,22054,23449,24817,26236,27183,28274,29401,30237,30041,29839,29181,28261,27898,26942,26365,25917,25459,24942,24865,24198,24095,23622,22903,22563,22048,21747,21037,20580,19965,19471,19078,18468,17854,17570,17392,17488,17309,17408,16285,13545,10200,8460,7434,6505,5526,4467,3563,2536,1809,1134,719,375,231,78,61],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"512","{""values"":[91,183,561,1562,4217,9247,15833,21035,24424,27306,30032,32756,35777,38936,40730,41762,41986,40550,38412,35785,32987,30760,28359,26580,24783,23184,22294,21140,20285,19644,18852,18303,17396,17036,16583,16065,15608,15151,14841,14464,13788,13798,13422,12802,12487,12555,11993,11629,10387,8585,7024,5923,4771,3988,3128,2321,1667,1132,738,424,242,153,70,49],""_type"":""histogram"",""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"517","{""_type"":""histogram"",""values"":[41,89,299,782,2357,6150,11039,14533,17273,19608,21779,24072,27036,30402,33122,35849,37798,38431,38417,37742,35373,33813,31649,29834,28247,26951,25381,23773,22717,21932,21267,20052,19344,18620,18472,17712,17399,17033,16309,15982,15591,15494,14942,14416,14217,13890,13671,12771,11688,11113,10352,9219,8233,6873,5334,4153,2983,2086,1246,776,436,226,97,90],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"522","{""_type"":""histogram"",""values"":[175,387,888,2015,3983,6202,8668,10756,12717,14024,15299,16858,17657,18916,19997,21013,21737,22823,23569,23974,24466,24957,25506,26194,26491,26856,27731,28136,28670,28640,29313,29426,29435,29397,29289,28862,28525,27783,27164,26059,25515,25083,24780,25983,27221,26608,21573,16540,12414,7447,4470,3353,2911,2609,2112,1741,1302,964,657,369,200,110,39,17],""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
"527","{""_type"":""histogram"",""values"":[98,193,524,1469,3461,7584,12565,17136,20196,22281,23606,25827,28666,31416,34088,35582,35970,34523,33266,31375,29731,28452,26940,25620,25008,24511,24109,23584,23166,22672,22352,22146,21911,21053,20733,20356,20083,19337,18826,18479,18030,17494,17143,16922,16624,16109,15755,14482,12792,10841,8781,6944,5208,3664,2710,2072,1550,1033,663,378,252,116,60,58],""bins"":[0,3.984375238418579,7.968750476837158,11.953125715255737,15.937500953674316,19.921876192092896,23.906251430511475,27.890626668930054,31.875001907348633,35.85937714576721,39.84375238418579,43.82812762260437,47.81250286102295,51.79687809944153,55.78125333786011,59.76562857627869,63.750003814697266,67.73437905311584,71.71875429153442,75.703129529953,79.68750476837158,83.67188000679016,87.65625524520874,91.64063048362732,95.6250057220459,99.60938096046448,103.59375619888306,107.57813143730164,111.56250667572021,115.5468819141388,119.53125715255737,123.51563239097595,127.50000762939453,131.4843828678131,135.4687581062317,139.45313334465027,143.43750858306885,147.42188382148743,151.406259059906,155.39063429832458,159.37500953674316,163.35938477516174,167.34376001358032,171.3281352519989,175.31251049041748,179.29688572883606,183.28126096725464,187.26563620567322,191.2500114440918,195.23438668251038,199.21876192092896,203.20313715934753,207.1875123977661,211.1718876361847,215.15626287460327,219.14063811302185,223.12501335144043,227.109388589859,231.0937638282776,235.07813906669617,239.06251430511475,243.04688954353333,247.0312647819519,251.01564002037048,255.00001525878906]}"
"532","{""values"":[168,348,855,1862,3392,5515,7787,9712,11489,12683,13606,14589,15530,16197,17164,18008,18980,19972,20995,22227,23028,23706,24606,25368,26308,26701,27418,27965,28095,28589,29294,29494,29593,29825,29988,29796,29228,29074,28348,27690,27156,26137,25413,24091,23729,22759,22537,21431,18996,15350,11947,8143,5308,3870,2819,1823,1005,512,214,76,36,14,11,6],""_type"":""histogram"",""bins"":[0,3.984375,7.96875,11.953125,15.9375,19.921875,23.90625,27.890625,31.875,35.859375,39.84375,43.828125,47.8125,51.796875,55.78125,59.765625,63.75,67.734375,71.71875,75.703125,79.6875,83.671875,87.65625,91.640625,95.625,99.609375,103.59375,107.578125,111.5625,115.546875,119.53125,123.515625,127.5,131.484375,135.46875,139.453125,143.4375,147.421875,151.40625,155.390625,159.375,163.359375,167.34375,171.328125,175.3125,179.296875,183.28125,187.265625,191.25,195.234375,199.21875,203.203125,207.1875,211.171875,215.15625,219.140625,223.125,227.109375,231.09375,235.078125,239.0625,243.046875,247.03125,251.015625,255]}"
